H3,s1,s2,angle,velocity direction prob 0,velocity direction prob 1,velocity direction prob 2,velocity direction prob 3
6.0,0.01,0.33,0.0,-0.0006323731279842919,0.0009682217970193582,-0.07477755857808542,-0.018763323171894976
6.0,0.01,0.33,10.0,8.66840611002908,9.460908993112746,7.327554943741979,5.8978568448414475
6.0,0.01,0.33,20.0,17.460226158469396,18.99274824646788,14.938148022987159,12.018815920902334
6.0,0.01,0.33,30.0,26.501935966655143,28.63996839122455,22.96347573710466,18.597263523536746
6.0,0.01,0.33,40.0,35.917073575650534,38.43467149092672,31.575634162254982,25.942038770894968
6.0,0.01,0.33,50.0,45.784518209336554,48.39351004983769,41.00956465515539,34.45999972712054
6.0,0.01,0.33,60.0,56.126811639882405,58.511689587379955,51.56700332149552,44.666843025400325
6.0,0.01,0.33,70.0,67.01616142072157,68.66789504407211,64.34489728248063,57.32508204975675
6.0,0.01,0.33,80.0,78.15174582421649,79.03865958181916,76.53267344303532,72.08394378348854
6.0,0.01,0.33,89.0,88.19450963058217,87.8204354132188,87.2831742575617,86.4304885091123
6.0,0.1,0.33,0.0,-0.0012451886197324925,-0.007825888729316286,-0.005535943904512653,-0.029211959922726873
6.0,0.1,0.33,10.0,9.021453134714424,9.084662646136834,7.727254139214356,6.188795643835438
6.0,0.1,0.33,20.0,18.11043123226475,18.25187485799439,15.615973153717624,12.62990990807035
6.0,0.1,0.33,30.0,27.37283665678854,27.591562323193415,23.835731696551218,19.522629064273307
6.0,0.1,0.33,40.0,36.88188206373298,37.16721886102569,32.59062806273711,27.177572603473294
6.0,0.1,0.33,70.0,67.55242831293147,67.72266595562094,63.42137777637237,58.37538852061164
6.0,0.1,0.33,80.0,78.52296882785235,78.6653383970531,76.10262215363764,72.96724882048774
6.0,0.1,0.33,89.0,88.78056763202996,88.81137318320499,88.52905031754216,88.19791014216564
6.0,0.01,0.33,0.0,-0.0006323731279842919,0.0009682217970193582,-0.07477755857808542,-0.018763323171894976
6.0,0.01,0.33,10.0,8.66840611002908,9.460908993112746,7.327554943741979,5.8978568448414475
6.0,0.01,0.33,20.0,17.460226158469396,18.99274824646788,14.938148022987159,12.018815920902334
6.0,0.01,0.33,30.0,26.501935966655143,28.63996839122455,22.96347573710466,18.597263523536746
6.0,0.01,0.33,40.0,35.917073575650534,38.43467149092672,31.575634162254982,25.942038770894968
6.0,0.01,0.33,50.0,45.784518209336554,48.39351004983769,41.00956465515539,34.45999972712054
6.0,0.01,0.33,60.0,56.126811639882405,58.511689587379955,51.56700332149552,44.666843025400325
6.0,0.01,0.33,70.0,67.01616142072157,68.66789504407211,64.34489728248063,57.32508204975675
6.0,0.01,0.33,80.0,78.15174582421649,79.03865958181916,76.53267344303532,72.08394378348854
6.0,0.01,0.33,89.0,88.19450963058217,87.8204354132188,87.2831742575617,86.4304885091123
6.0,0.1,0.33,0.0,-0.0012451886197324925,-0.027548439475343123,-0.005535943904512653,-0.029211959922726873
6.0,0.1,0.33,10.0,9.021453134714424,8.979959220551326,7.727254139214356,6.188795643835438
6.0,0.1,0.33,20.0,18.11043123226475,18.078713256262898,15.615973153717624,12.62990990807035
6.0,0.1,0.33,30.0,27.37283665678854,27.367185526769184,23.835731696551218,19.522629064273307
6.0,0.1,0.33,40.0,36.88188206373298,36.915213448686366,32.59062806273711,27.177572603473294
6.0,0.01,0.33,0.0,-0.0006323731279842919,0.0009682217970193582,-0.07477755857808542,-0.018763323171894976
6.0,0.01,0.33,10.0,8.66840611002908,9.460908993112746,7.327554943741979,5.8978568448414475
6.0,0.01,0.33,20.0,17.460226158469396,18.99274824646788,14.938148022987159,12.018815920902334
6.0,0.01,0.33,30.0,26.501935966655143,28.63996839122455,22.96347573710466,18.597263523536746
6.0,0.01,0.33,0.0,-0.0006323731279842919,0.0009682217970193582,-0.07477755857808542,-0.018763323171894976
6.0,0.01,0.33,10.0,8.66840611002908,9.460908993112746,7.327554943741979,5.8978568448414475
6.0,0.01,0.33,20.0,17.460226158469396,18.99274824646788,14.938148022987159,12.018815920902334
6.0,0.01,0.33,0.0,3.3211749344939972e-06,-2.494189230318842e-05,-2.8814300682061107e-05,-6.743260336395016e-06
6.0,0.01,0.33,10.0,8.666062691154348,9.457810061115108,7.389975450589337,5.907231378506944
6.0,0.01,0.33,20.0,17.461949019241302,18.987470156658304,14.987231136760968,12.023373916957254
6.0,0.01,0.33,30.0,26.507618265766304,28.633701779992503,23.002369957496622,18.599623718419302
6.0,0.01,0.33,40.0,35.911827460663275,38.429184997700865,31.610278114233125,25.944543863575237
6.0,0.01,0.33,50.0,45.773231603384104,48.38679784895093,41.035977274452215,34.46140248235031
6.0,0.01,0.33,60.0,56.13084014009309,58.50624793916221,51.58367259103575,44.668421213746484
6.0,0.01,0.33,70.0,67.0151481397441,68.66801024155,64.32916756261733,57.2778710209551
6.0,0.01,0.33,80.0,78.15136966231535,79.03876564760331,76.52311096292974,72.05890995539038
6.0,0.01,0.33,89.0,88.19448025276641,87.82026240461101,87.28134599225484,86.42626239117412
6.0,0.1,0.33,0.0,-5.8619843206970825e-06,4.513305875839842e-05,6.591545540010487e-05,1.9003529820680232e-05
6.0,0.1,0.33,10.0,9.013885537242126,9.090536739954763,7.729603083781639,6.214950368086964
6.0,0.1,0.33,20.0,18.09427994864357,18.255556606402426,15.616956950205704,12.647405812426996
6.0,0.1,0.33,30.0,27.349519626152635,27.594070773124077,23.837425494766457,19.533063921053834
6.0,0.1,0.33,40.0,36.85271364400168,37.169871675019536,32.59780556760212,27.184589614204548
6.0,0.1,0.33,70.0,67.52840703451945,67.70719749249282,63.40963336296401,58.36705186077054
6.0,0.1,0.33,80.0,78.50917567048589,78.66109533209189,76.10056425237735,72.96546241459899
6.0,0.1,0.33,89.0,88.77945087188316,88.80973635768993,88.5272794012329,88.19777863029056
6.0,0.01,0.25,0.0,-1.2223193910241721e-05,7.542697257093929e-05,8.57120993581703e-05,nan
6.0,0.01,0.25,10.0,8.6623437034093,9.062669107026398,7.138852735498135,nan
6.0,0.01,0.25,20.0,17.455830272628507,18.24158616128534,14.486579716923293,nan
6.0,0.01,0.25,30.0,26.506906463254044,27.607672700388218,22.24432727168276,nan
6.0,0.01,0.25,40.0,35.93053562344747,37.258298437135046,30.67739006315865,nan
6.0,0.01,0.25,50.0,45.80855886609628,47.21384779416772,40.02748390794507,nan
6.0,0.01,0.25,60.0,56.16984313654965,57.46973603068928,50.5209957608188,nan
6.0,0.01,0.25,70.0,67.01095502758632,67.57759052657121,62.384093843954865,nan
6.0,0.01,0.25,80.0,78.14654907039476,78.44727277472126,75.40833520894111,nan
